[2023.08.31 09:30:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445401260 <= 1693445401512, execute later
[2023.08.31 09:38:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445671797 <= 1693445911540, execute later
[2023.08.31 09:38:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445674796 <= 1693445917486, execute later
[2023.08.31 09:38:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445680796 <= 1693445929539, execute later
[2023.08.31 09:39:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445590420 <= 1693445968488, execute later
[2023.08.31 09:39:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445593420 <= 1693445977488, execute later
[2023.08.31 09:39:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445710801 <= 1693445983489, execute later
[2023.08.31 09:39:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445594920 <= 1693445989485, execute later
[2023.08.31 09:39:52 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445713800 <= 1693445989485, execute later
[2023.08.31 09:40:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445722799 <= 1693446007564, execute later
[2023.08.31 09:40:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445728789 <= 1693446019521, execute later
[2023.08.31 09:40:44 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445740835 <= 1693446043551, execute later
[2023.08.31 09:40:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445610910 <= 1693446046483, execute later
[2023.08.31 09:40:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445746787 <= 1693446052483, execute later
[2023.08.31 09:40:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445749818 <= 1693446058490, execute later
[2023.08.31 09:41:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445770865 <= 1693446091499, execute later
[2023.08.31 09:41:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445626510 <= 1693446097485, execute later
[2023.08.31 09:41:44 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445776786 <= 1693446103506, execute later
[2023.08.31 09:41:50 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445779817 <= 1693446109570, execute later
[2023.08.31 09:42:02 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445785816 <= 1693446121536, execute later
[2023.08.31 09:42:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445635170 <= 1693446124558, execute later
[2023.08.31 09:42:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445788863 <= 1693446127537, execute later
[2023.08.31 09:42:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445791800 <= 1693446130490, execute later
[2023.08.31 09:42:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445794893 <= 1693446136504, execute later
[2023.08.31 09:42:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445641510 <= 1693446142489, execute later
[2023.08.31 09:42:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445800783 <= 1693446145505, execute later
[2023.08.31 09:42:32 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445803877 <= 1693446151490, execute later
[2023.08.31 09:42:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445644480 <= 1693446154473, execute later
[2023.08.31 09:42:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445812798 <= 1693446166472, execute later
[2023.08.31 09:43:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445821892 <= 1693446184477, execute later
[2023.08.31 09:43:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445830788 <= 1693446199469, execute later
[2023.08.31 09:43:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445665380 <= 1693446226545, execute later
[2023.08.31 09:43:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445851801 <= 1693446235548, execute later
[2023.08.31 09:43:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445668480 <= 1693446235548, execute later
[2023.08.31 09:44:01 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445854785 <= 1693446238539, execute later
[2023.08.31 09:44:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445857832 <= 1693446244470, execute later
[2023.08.31 09:44:36 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445875783 <= 1693446274474, execute later
[2023.08.31 09:45:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445893843 <= 1693446304535, execute later
[2023.08.31 09:45:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445690610 <= 1693446310473, execute later
[2023.08.31 09:45:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445899795 <= 1693446316500, execute later
[2023.08.31 09:45:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445905779 <= 1693446325475, execute later
[2023.08.31 09:45:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445908826 <= 1693446328462, execute later
[2023.08.31 09:46:02 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445929792 <= 1693446361478, execute later
[2023.08.31 09:46:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445932776 <= 1693446364501, execute later
[2023.08.31 09:46:11 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445935807 <= 1693446370518, execute later
[2023.08.31 09:46:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445713410 <= 1693446373474, execute later
[2023.08.31 09:46:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445944807 <= 1693446385476, execute later
[2023.08.31 09:46:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445947776 <= 1693446391538, execute later
[2023.08.31 09:46:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445953791 <= 1693446400471, execute later
[2023.08.31 09:46:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445956791 <= 1693446406457, execute later
[2023.08.31 09:46:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445725390 <= 1693446415499, execute later
[2023.08.31 09:47:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445971836 <= 1693446427464, execute later
[2023.08.31 09:47:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445730900 <= 1693446433476, execute later
[2023.08.31 09:47:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445986772 <= 1693446448533, execute later
[2023.08.31 09:47:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445989787 <= 1693446454472, execute later
[2023.08.31 09:47:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445992802 <= 1693446457498, execute later
[2023.08.31 09:48:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446010775 <= 1693446487528, execute later
[2023.08.31 09:48:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446019915 <= 1693446508475, execute later
[2023.08.31 09:48:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446022805 <= 1693446514461, execute later
[2023.08.31 09:48:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445764460 <= 1693446523462, execute later
[2023.08.31 09:48:58 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445769870 <= 1693446538458, execute later
[2023.08.31 09:49:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446037775 <= 1693446544475, execute later
[2023.08.31 09:49:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445773440 <= 1693446544475, execute later
[2023.08.31 09:49:25 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446049773 <= 1693446565472, execute later
[2023.08.31 09:49:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445782480 <= 1693446571457, execute later
[2023.08.31 09:49:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446058772 <= 1693446577457, execute later
[2023.08.31 09:49:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445785260 <= 1693446577457, execute later
[2023.08.31 09:49:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445787510 <= 1693446586521, execute later
[2023.08.31 09:49:58 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446067771 <= 1693446595461, execute later
[2023.08.31 09:50:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445797120 <= 1693446607530, execute later
[2023.08.31 09:50:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445799520 <= 1693446616468, execute later
[2023.08.31 09:50:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445809400 <= 1693446637519, execute later
[2023.08.31 09:50:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445815520 <= 1693446652455, execute later
[2023.08.31 09:50:58 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446100796 <= 1693446655470, execute later
[2023.08.31 09:51:04 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446103765 <= 1693446664460, execute later
[2023.08.31 09:51:11 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445821530 <= 1693446670457, execute later
[2023.08.31 09:51:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446109780 <= 1693446676515, execute later
[2023.08.31 09:51:19 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445823830 <= 1693446679500, execute later
[2023.08.31 09:51:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446112779 <= 1693446679500, execute later
[2023.08.31 09:51:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446115826 <= 1693446685454, execute later
[2023.08.31 09:51:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446121837 <= 1693446700457, execute later
[2023.08.31 09:51:46 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446124840 <= 1693446703452, execute later
[2023.08.31 09:52:04 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445842390 <= 1693446721469, execute later
[2023.08.31 09:52:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446136791 <= 1693446730458, execute later
[2023.08.31 09:52:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446145822 <= 1693446745478, execute later
[2023.08.31 09:52:32 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445854280 <= 1693446751493, execute later
[2023.08.31 09:52:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446151774 <= 1693446757522, execute later
[2023.08.31 09:52:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446154805 <= 1693446763448, execute later
[2023.08.31 09:52:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446157774 <= 1693446769520, execute later
[2023.08.31 09:52:53 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446160773 <= 1693446772665, execute later
[2023.08.31 09:52:58 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446163773 <= 1693446778452, execute later
[2023.08.31 09:53:14 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445872330 <= 1693446793502, execute later
[2023.08.31 09:53:23 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446178820 <= 1693446802493, execute later
[2023.08.31 09:53:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446196773 <= 1693446835445, execute later
[2023.08.31 09:54:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446202834 <= 1693446847452, execute later
[2023.08.31 09:54:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445893480 <= 1693446847452, execute later
[2023.08.31 09:54:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446214780 <= 1693446862439, execute later
[2023.08.31 09:54:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446235827 <= 1693446886446, execute later
[2023.08.31 09:54:50 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446876590 <= 1693446889440, execute later
[2023.08.31 09:55:16 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446250898 <= 1693446913493, execute later
[2023.08.31 09:55:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446262781 <= 1693446937454, execute later
[2023.08.31 09:55:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446265774 <= 1693446943439, execute later
[2023.08.31 09:56:20 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446913570 <= 1693446979459, execute later
[2023.08.31 09:56:25 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446292809 <= 1693446982444, execute later
[2023.08.31 09:56:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446923220 <= 1693447012485, execute later
[2023.08.31 09:57:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446928210 <= 1693447021490, execute later
[2023.08.31 09:57:14 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446322772 <= 1693447033509, execute later
[2023.08.31 09:57:44 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446938640 <= 1693447063450, execute later
[2023.08.31 09:58:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446349803 <= 1693447078428, execute later
[2023.08.31 09:58:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446949330 <= 1693447087440, execute later
[2023.08.31 09:58:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446376777 <= 1693447126457, execute later
[2023.08.31 09:58:58 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446382771 <= 1693447138437, execute later
[2023.08.31 09:59:14 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446974680 <= 1693447153434, execute later
[2023.08.31 09:59:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446391843 <= 1693447153434, execute later
[2023.08.31 09:59:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446400791 <= 1693447168460, execute later
[2023.08.31 09:59:36 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446984090 <= 1693447174444, execute later
[2023.08.31 09:59:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446988520 <= 1693447180444, execute later
[2023.08.31 09:59:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446994040 <= 1693447192429, execute later
[2023.08.31 09:59:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446418766 <= 1693447198428, execute later
[2023.08.31 10:00:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446995780 <= 1693447198428, execute later
[2023.08.31 10:00:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446424765 <= 1693447207481, execute later
[2023.08.31 10:00:20 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447005780 <= 1693447219445, execute later
[2023.08.31 10:00:26 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447007330 <= 1693447225478, execute later
[2023.08.31 10:00:53 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446451769 <= 1693447252497, execute later
[2023.08.31 10:01:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446466768 <= 1693447276438, execute later
[2023.08.31 10:01:23 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446469762 <= 1693447282439, execute later
[2023.08.31 10:01:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447030420 <= 1693447291518, execute later
[2023.08.31 10:01:32 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446475799 <= 1693447291518, execute later
[2023.08.31 10:01:45 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446484823 <= 1693447303429, execute later
[2023.08.31 10:02:01 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446493765 <= 1693447321444, execute later
[2023.08.31 10:02:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447041250 <= 1693447321444, execute later
[2023.08.31 10:02:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446496767 <= 1693447324459, execute later
[2023.08.31 10:02:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446499804 <= 1693447330461, execute later
[2023.08.31 10:02:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447048260 <= 1693447336523, execute later
[2023.08.31 10:02:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446508780 <= 1693447345508, execute later
[2023.08.31 10:02:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446511765 <= 1693447351425, execute later
[2023.08.31 10:02:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446517757 <= 1693447363435, execute later
[2023.08.31 10:03:02 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446529812 <= 1693447381461, execute later
[2023.08.31 10:03:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446538770 <= 1693447396429, execute later
[2023.08.31 10:03:34 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446547757 <= 1693447414472, execute later
[2023.08.31 10:03:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446550760 <= 1693447417482, execute later
[2023.08.31 10:03:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447075980 <= 1693447420488, execute later
[2023.08.31 10:03:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447084410 <= 1693447432411, execute later
[2023.08.31 10:04:04 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446568764 <= 1693447441425, execute later
[2023.08.31 10:04:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446571758 <= 1693447447418, execute later
[2023.08.31 10:04:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447089210 <= 1693447447418, execute later
[2023.08.31 10:04:20 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447092190 <= 1693447459429, execute later
[2023.08.31 10:04:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446580756 <= 1693447459429, execute later
[2023.08.31 10:04:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447095960 <= 1693447465415, execute later
[2023.08.31 10:04:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446586799 <= 1693447468446, execute later
[2023.08.31 10:04:34 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446589826 <= 1693447471417, execute later
[2023.08.31 10:05:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446616757 <= 1693447528411, execute later
[2023.08.31 10:05:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447121850 <= 1693447528411, execute later
[2023.08.31 10:05:39 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446622767 <= 1693447537433, execute later
[2023.08.31 10:05:44 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447129280 <= 1693447543496, execute later
[2023.08.31 10:05:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446628774 <= 1693447546430, execute later
[2023.08.31 10:05:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447132170 <= 1693447549459, execute later
[2023.08.31 10:06:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446646775 <= 1693447576463, execute later
[2023.08.31 10:06:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446649753 <= 1693447579478, execute later
[2023.08.31 10:06:51 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447154220 <= 1693447609421, execute later
[2023.08.31 10:06:58 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447158860 <= 1693447615411, execute later
[2023.08.31 10:07:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447159060 <= 1693447624423, execute later
[2023.08.31 10:07:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446679821 <= 1693447639410, execute later
[2023.08.31 10:07:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693446691814 <= 1693447657455, execute later
[2023.08.31 10:07:42 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693447174660 <= 1693447660458, execute later
